protein1 protein2
YAL025C YGR280C
YAL025C YIR026C
YAL025C YDR161W
YAL025C YGL029W
YAL025C YLR129W
YAL025C YDR083W
YAL025C YPR137W
YAL025C YFL002C
YAL025C YNL182C
YAL025C YLR196W
YAL025C YGR103W
YAL025C YGR145W
YAL025C YCR047C
YAL025C YKR060W
YAL025C YHL033C
YAL025C YPL211W
YAL025C YNR038W
YAL025C YAL019W
YAL025C YER006W
YAL025C YHR066W
YAL025C YKL172W
YAL025C YMR131C
YAL025C YDR101C
YAL025C YNL062C
YAL025C YMR049C
YAL025C YDL051W
YAL025C YLR003C
YAL025C YCR057C
YAL025C YDL208W
YAL025C YOL127W
YAL025C YER127W
YAL025C YNL308C
YAL025C YOR310C
YAL025C YGL135W
YAL025C YKL143W
YAL025C YBL028C
YAL025C YGL111W
YAL025C YDR087C
YAL025C YBR142W
YAL025C YLR009W
YAL025C YLL008W
YAL025C YOL010W
YAL025C YOL041C
YAL025C YOR119C
YAL025C YNL075W
YAL025C YJL069C
YAL025C YKR092C
YAL025C YLR185W
YAL025C YNR053C
YAL025C YNR054C
YAL025C YER126C
YAL025C YDL060W
YAL025C YPL012W
YAL025C YIL019W
YAL025C YLL034C
YAL025C YIL091C
YAL025C YDR418W
YAL025C YBR267W
YAL025C YMR290C
YAL025C YHR169W
YAL025C YHR148W
YAL025C YOR145C
YAL025C YER002W
YAL025C YAL035W
YAL025C YNL110C
YAL025C YHR088W
YAL025C YER036C
YAL025C YOR294W
YAL025C YNL061W
YAL025C YHR085W
YAL025C YKR081C
YAL025C YIL018W
YAL025C YDR398W
YAL025C YOL124C
YAL025C YNL248C
YAL025C YOR272W
YAL025C YNL207W
YAL025C YLR222C
YAL025C YGL103W
YAL025C YCL054W
YAL025C YCR016W
YAL025C YLR435W
YAL025C YPR010C
YAL026C YER166W
YAL026C YCR094W
YAL026C YPL145C
YAL026C YEL022W
YAL026C YJL204C
YAL026C YNL323W
YAL027W YOL090W
YAL027W YPL022W
YAL027W YML095C
YAL029C YGL210W
YAL029C YBR109C
YAL029C YOR035C
YAL029C YBL032W
YAL029C YNL271C
YAL029C YBR130C
YAL029C YHR023W
YAL029C YER031C
YAL029C YOR326W
YAL029C YKL185W
YAL029C YGL106W
YAL029C YFL039C
YAL029C YKL130C
YAL029C YNL304W
YAL030W YDR498C
YAL030W YLR026C
YAL030W YNR049C
YAL030W YMR183C
YAL030W YGL098W
YAL030W YGL095C
YAL030W YBL050W
YAL030W YDR468C
YAL030W YGR167W
YAL030W YBR080C
YAL030W YMR197C
YAL030W YER031C
YAL030W YLR078C
YAL030W YJL204C
YAL030W YNL243W
YAL030W YKL006C-A
YAL030W YLR268W
YAL030W YPL232W
YAL030W YDR164C
YAL030W YOR075W
YAL030W YAL014C
YAL030W YJL036W
YAL030W YOR106W
YAL030W YKL196C
YAL030W YGR009C
YAL030W YOL018C
YAL030W YLR093C
YAL030W YHL031C
YAL030W YMR017W
YAL030W YKR001C
YAL030W YOR036W
YAL030W YFL005W
YAL030W YHR161C
YAL030W YOR327C
YAL030W YGR241C
YAL030W YIL004C
YAL032C YIR009W
YAL032C YJL034W
YAL032C YKR086W
YAL032C YGL174W
YAL032C YPL048W
YAL032C YPL151C
YAL032C YBR188C
YAL032C YGR278W
YAL032C YNR011C
YAL032C YDR088C
YAL032C YLR117C
YAL032C YPR101W
YAL032C YGR074W
YAL032C YBR065C
YAL032C YDR061W
